frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face,ground_truth
194,4,Unknown,0.0,40.51780700683594,partial_back,0.5,False,4,92,
196,3,Unknown,0.0,12.187004089355469,frontal,0.7,False,0,0,
196,7,myke,0.8178331635498483,46.16236686706543,profile,0.5,True,0,2,
196,4,Unknown,0.0,36.17095947265625,partial_back,0.5,False,5,94,
198,3,Unknown,0.0,12.778997421264648,frontal,0.7,False,0,0,
198,7,myke,0.8148348970604402,37.5065803527832,profile,0.5,True,0,4,
198,4,Unknown,0.0,19.7751522064209,partial_back,0.5,False,6,96,
200,3,Unknown,0.0,10.378360748291016,frontal,0.7,False,0,0,
200,7,myke,0.8118453523043355,41.2752628326416,profile,0.5,True,0,6,
200,4,Unknown,0.0,39.183855056762695,partial_back,0.5,False,7,98,
202,3,Unknown,0.0,12.875080108642578,frontal,0.7,False,0,0,
202,7,myke,0.808864506387667,19.058942794799805,profile,0.5,True,0,8,
202,4,Unknown,0.0,26.31211280822754,partial_back,0.5,False,8,100,
204,3,Unknown,0.0,10.950803756713867,frontal,0.7,False,0,0,
204,7,myke,0.805892336473256,39.62850570678711,profile,0.5,True,0,10,
204,4,Unknown,0.0,35.11762619018555,partial_back,0.5,False,9,102,
206,3,Unknown,0.0,10.335206985473633,frontal,0.7,False,0,0,
206,7,myke,0.802928819780477,18.56207847595215,profile,0.5,True,0,12,
206,4,Unknown,0.0,30.410289764404297,back_view,0.8999999999999999,False,10,104,
208,3,Unknown,0.0,9.562969207763672,profile,0.5,False,0,0,
208,7,myke,0.7999739335851233,43.76554489135742,profile,0.5,True,0,14,
208,4,Unknown,0.0,28.69558334350586,back_view,0.8999999999999999,False,11,106,
210,3,Unknown,0.0,9.624242782592773,profile,0.5,False,0,0,
210,7,myke,0.8024575059485662,41.71252250671387,back_view,0.8999999999999999,True,1,16,
210,4,Unknown,0.0,31.518220901489258,partial_back,0.5,False,12,108,
212,3,Unknown,0.0,9.995698928833008,profile,0.5,False,0,0,
212,7,myke,0.8049464919190734,44.34990882873535,back_view,0.8999999999999999,True,2,18,
212,4,Unknown,0.0,25.29740333557129,partial_back,0.5,False,13,110,
214,3,Unknown,0.0,9.636640548706055,profile,0.5,False,0,0,
214,7,myke,0.8074408862587781,37.73093223571777,back_view,0.8999999999999999,True,3,20,
214,4,Unknown,0.0,35.5532169342041,partial_back,0.5,False,14,112,
216,3,Unknown,0.0,16.249418258666992,profile,0.5,False,0,0,
216,7,myke,0.8099406835548628,39.649009704589844,back_view,0.8999999999999999,True,4,22,
216,4,Unknown,0.0,28.98883819580078,partial_back,0.5,False,15,114,
218,3,Unknown,0.0,11.173009872436523,profile,0.5,False,0,0,
218,7,myke,0.812445878218001,17.037153244018555,back_view,0.8999999999999999,True,5,24,
218,4,Unknown,0.0,27.433156967163086,partial_back,0.5,False,16,116,
220,3,Unknown,0.0,8.82720947265625,profile,0.5,False,0,0,
220,4,Unknown,0.0,20.340919494628906,partial_back,0.5,False,17,118,
222,3,Unknown,0.0,9.070634841918945,profile,0.5,False,0,0,
222,4,Unknown,0.0,28.211593627929688,partial_back,0.5,False,18,120,
222,7,myke,0.8149564644807875,16.669750213623047,back_view,0.8999999999999999,True,6,28,
224,3,Unknown,0.0,10.261774063110352,profile,0.5,False,0,0,
224,4,Unknown,0.0,21.826505661010742,partial_back,0.5,False,19,122,
224,7,myke,0.8174724363961582,13.827323913574219,back_view,0.7,True,7,30,
226,3,Unknown,0.0,12.746095657348633,profile,0.5,False,0,0,
226,4,Unknown,0.0,20.046234130859375,partial_back,0.5,False,20,124,
226,7,myke,0.819993787835798,17.9293155670166,back_view,0.7,True,8,32,
228,3,Unknown,0.0,9.472846984863281,profile,0.5,False,0,0,
228,4,Unknown,0.0,29.3271541595459,partial_back,0.5,False,21,126,
228,7,myke,0.8225205124885389,11.46554946899414,back_view,0.7,True,9,34,
230,3,Unknown,0.0,9.838342666625977,profile,0.5,False,0,0,
230,4,Unknown,0.0,32.43732452392578,partial_back,0.5,False,22,128,
230,7,myke,0.8250526038587453,10.925054550170898,back_view,0.7,True,10,36,
232,3,Unknown,0.0,12.128591537475586,profile,0.5,False,0,0,
232,4,Unknown,0.0,43.79892349243164,profile,0.5,False,0,130,
232,7,myke,0.8275900552646897,15.808582305908203,back_view,0.7,True,11,38,
234,3,Unknown,0.0,11.265993118286133,profile,0.5,False,0,0,
234,4,Unknown,0.0,40.68136215209961,profile,0.5,False,0,132,
